| CIS AWS 1.1 Rule | CIS AWS 1.1 Rule Severity | Lacework Policy ID | CIS AWS 1.4 Rule ID | Current Severity | Behavioral Difference |
| LW_S3_1 | Critical | lacework-global-130 |  | Critical | - |
| LW_S3_2 | Critical | lacework-global-131 |  | Critical | - |
| LW_S3_3 | Critical | lacework-global-132 |  | Critical | - |
| LW_S3_4 | Critical | lacework-global-133 |  | Critical | - |
| LW_S3_5 | Critical | lacework-global-134 |  | Critical | - |
| LW_S3_6 | Critical | lacework-global-135 |  | Critical | - |
| LW_S3_7 | Critical | lacework-global-136 |  | Critical | - |
| LW_S3_8 | Critical | lacework-global-137 |  | Critical | - |
| LW_S3_9 | Critical | lacework-global-138 |  | Critical | - |
| LW_S3_10 | Critical | lacework-global-139 |  | Critical | - |
| LW_S3_11 | Critical | lacework-global-140 | 2.1.5 | Critical | none |
| LW_S3_12 | Medium | lacework-global-94 | 2.1.3 | Medium | none |
| LW_S3_13 | Low | lacework-global-95 |  | Low | - |
| LW_S3_14 | High | lacework-global-72 | 2.1.1 | Medium | AWS 1.1:<br /> - May not find all S3 buckets violating encryption at rest (known bug)<br /><br />Impact:<br /> - AWS 1.4 benchmark provides more accurate assessments |
| LW_S3_15 | High | lacework-global-96 |  | High | - |
| LW_S3_16 | High | lacework-global-97 |  | High | - |
| LW_S3_17 | High | n/a |  | - | - |
| LW_S3_18 | Critical | lacework-global-98 |  | Critical | - |
| LW_S3_19 | Critical | lacework-global-99 |  | Critical | - |
| LW_S3_20 | Critical | lacework-global-100 |  | Critical | - |
| LW_S3_21 | Critical | lacework-global-101 |  | Critical | - |
| AWS_CIS_1_2 | Critical | lacework-global-39 | 1.10 | High | none |
| AWS_CIS_1_3 | High | lacework-global-41 | 1.12 | Medium | AWS 1.1:<br /> - Evaluates if credentials that are unused for 90 days or more are disabled<br /><br />AWS 1.4:<br /> - Evaluates if credentials that are unused for 45 days or more are disabled |
| AWS_CIS_1_4 | Critical | lacework-global-43 | 1.14 | Medium | none |
| AWS_CIS_1_9 | Medium | lacework-global-37 | 1.8 | Medium | none |
| AWS_CIS_1_10 | High  | lacework-global-38 | 1.9 | Low | none |
